district,date,temperature
Bangalore,2024-11-01,31.5
Mysore,2024-11-01,22.1
Mangalore,2024-11-01,34.6
Hubli,2024-11-01,24.6
Belgaum,2024-11-01,20.9
Davangere,2024-11-01,29.0
Gulbarga,2024-11-01,20.6
Bijapur,2024-11-01,31.8
Bangalore,2024-11-02,20.4
Mysore,2024-11-02,20.9
Mangalore,2024-11-02,30.2
Hubli,2024-11-02,33.7
Belgaum,2024-11-02,29.8
Davangere,2024-11-02,34.7
Gulbarga,2024-11-02,27.9
Bijapur,2024-11-02,27.1
Bangalore,2024-11-03,27.8
Mysore,2024-11-03,26.9
Mangalore,2024-11-03,25.3
Hubli,2024-11-03,27.0
Belgaum,2024-11-03,21.2
Davangere,2024-11-03,29.9
Gulbarga,2024-11-03,29.6
Bijapur,2024-11-03,27.8
Bangalore,2024-11-04,26.5
Mysore,2024-11-04,21.8
Mangalore,2024-11-04,32.2
Hubli,2024-11-04,25.1
Belgaum,2024-11-04,24.0
Davangere,2024-11-04,29.7
Gulbarga,2024-11-04,21.6
Bijapur,2024-11-04,22.7
Bangalore,2024-11-05,29.4
Mysore,2024-11-05,26.1
Mangalore,2024-11-05,30.4
Hubli,2024-11-05,29.0
Belgaum,2024-11-05,27.1
Davangere,2024-11-05,30.7
Gulbarga,2024-11-05,20.2
Bijapur,2024-11-05,24.6
Bangalore,2024-11-06,20.8
Mysore,2024-11-06,34.0
Mangalore,2024-11-06,29.0
Hubli,2024-11-06,34.3
Belgaum,2024-11-06,31.4
Davangere,2024-11-06,25.4
Gulbarga,2024-11-06,34.0
Bijapur,2024-11-06,29.7
Bangalore,2024-11-07,28.3
Mysore,2024-11-07,32.9
Mangalore,2024-11-07,20.0
Hubli,2024-11-07,23.3
Belgaum,2024-11-07,21.7
Davangere,2024-11-07,33.2
Gulbarga,2024-11-07,22.8
Bijapur,2024-11-07,20.7
Bangalore,2024-11-08,22.1
Mysore,2024-11-08,31.5
Mangalore,2024-11-08,22.9
Hubli,2024-11-08,29.9
Belgaum,2024-11-08,25.1
Davangere,2024-11-08,24.4
Gulbarga,2024-11-08,20.2
Bijapur,2024-11-08,23.7
Bangalore,2024-11-09,30.8
Mysore,2024-11-09,31.4
Mangalore,2024-11-09,20.7
Hubli,2024-11-09,27.8
Belgaum,2024-11-09,30.2
Davangere,2024-11-09,34.3
Gulbarga,2024-11-09,20.8
Bijapur,2024-11-09,20.1
Bangalore,2024-11-10,34.7
Mysore,2024-11-10,28.9
Mangalore,2024-11-10,34.1
Hubli,2024-11-10,34.8
Belgaum,2024-11-10,28.0
Davangere,2024-11-10,24.4
Gulbarga,2024-11-10,22.0
Bijapur,2024-11-10,30.9
